yisi,hanzi
(to) drill/practice,操练 (练习/演习)
to control/manipulate,操纵(杆)
to work/operate (OS),操作(系统)
noisy,嘈杂
"draft (speech, bill, text etc)",草案(方案)
careless/sloppy/not serious,草率(马虎/含糊)(认真)
(to) plot/scheme/plan (conspire),策划(策动/图谋/谋划)
tactics/strategy (conspiracy),策略 (对策/谋划)
to measure/gauge/determine,测量
lateral side,侧面 (正面/反面)
emerge in endlessly (layers),层出不穷
layer/level,层次(一层)
socket,插座(插头)
difference,差别(区别/差异)
to track down and seize (a criminal suspect etc),查获
to diverge/branch off the road,岔(开/路)
an instant/split second,刹那(瞬间)(那一刹那/刹那间)
surprised/astonished,诧异(惊讶/吃惊)
diesel oil,柴油(汽油)
mix/mingle(support by arm eg to elderly Go Go Squid),(牛奶里)...搀...(搀扶)
greedy/have a craving for,...馋...(馋鬼/贪吃者/贪吃鬼)
to twine/twisting (mushroom),缠绕(围绕/环绕)(蘑菇)
industry (anything produce related),产业(农业/工业/行业)
to expound/elaborate/explain,阐述(说明/解释)
to tremble/shake/shiver,颤抖(发抖/颤动)
prosperity/prosperous,昌盛(发达/繁荣)
to try/attempt,尝试(试试/试验)
to repay/pay back,偿还(偿付/归还)(报答/报偿)
occasion/situation/setting,场合
scene (e.g. in drama or anime etc),场面
location/place,场所
to open wide,敞开
to promote/avocate,倡导(倡议/提倡)
to suggest/proposal,倡议(建议/倡导/提倡)
unblocked/unclogged/free-flowing/move without obstruction,畅通
to sell well/best seller/chart-topping,畅销
to surpass/transcend,超越
paper money,钞票(纸币/硬币/零钱)
dynasty/reign (of a king),朝代
Trend,潮流
to ridicule/laugh at,嘲笑
nest/den/lair/hideout,巢穴(贼巢/贼人/强盗)
to retreat(senryaku-teki tettai),(战略的)撤退
to undo (eg computer)/revoke/withdraw,撤销(重做)(撤回)
to precipitate (solid sediment out of a solution),沉淀
depressed/not happy,沉闷
contemplate/ponder/meditation,沉思(修炼)
heavy/hard (heavy responsibility),沉重(感/打击)(重任)
composed/cool headed/not nervous,沉着(惊慌/慌张)
old-fashioned/obsolete,陈旧(破旧)
