"昌盛(发达/繁荣)";"prosperity/prosperous"
"尝试(试试/试验)";"to try/attempt"
"偿还(偿付/归还)(报答/报偿)";"to repay/pay back"
"场合";"occasion/situation/setting"
"场面";"scene (e.g. in drama or anime etc)"
"场所";"location/place"
"敞开";"to open wide"
"倡导(倡议/提倡)";"to promote/avocate"
"倡议(建议/倡导/提倡)";"to suggest/proposal"
"畅通";"unblocked/unclogged/free-flowing/move without obstruction"
"畅销";"to sell well/best seller/chart-topping"
"超越";"to surpass/transcend"
"钞票(纸币/硬币/零钱)";"paper money"
"朝代";"dynasty/reign (of a king)"
"潮流";"trend"
"嘲笑";"to ridicule/laugh at"
"巢穴(贼巢/贼人/强盗)";"nest/den/lair/hideout"
"(战略的)撤退";"to retreat(senryaku-teki tettai)"
"撤销(重做)(撤回)";"to undo (eg computer)/revoke/withdraw"
"沉淀";"to precipitate (solid sediment out of a solution)"
"沉闷";"depressed/not happy"
"沉思(修炼)";"contemplate/ponder/meditation"
"沉重(感/打击)(重任)";"heavy/hard (heavy responsibility)"
"沉着(惊慌/慌张)";"composed/cool headed/not nervous"
"陈旧(破旧)";"old-fashioned/obsolete"
