"操练 (练习/演习)";"(to) drill/practice"
"操纵(杆)";"to control/manipulate"
"操作(系统)";"to work/operate (OS)"
"嘈杂";"noisy"
"草案(方案)";"draft (speech, bill, text etc)"
"草率(马虎/含糊)(认真)";"careless/sloppy/not serious"
"策划(策动/图谋/谋划)";"(to) plot/scheme/plan (conspire)"
"策略 (对策/谋划)";"tactics/strategy (conspiracy)"
"测量";"to measure/gauge/determine"
"侧面 (正面/反面)";"lateral side"
"层出不穷";"emerge in endlessly (layers)"
"层次(一层)";"layer/level"
"插座(插头)";"socket"
"差别(区别/差异)";"difference"
"查获";"to track down and seize (a criminal suspect etc)"
"岔(开/路)";"to diverge/branch off the road"
"刹那(瞬间)(那一刹那/刹那间)";"an instant/split second"
"诧异(惊讶/吃惊)";"surprised/astonished"
"柴油(汽油)";"diesel oil"
"(牛奶里)...搀...(搀扶)";"mix/mingle(support by arm eg to elderly Go Go Squid)"
"...馋...(馋鬼/贪吃者/贪吃鬼)";"greedy/have a craving for"
"缠绕(围绕/环绕)(蘑菇)";"to twine/twisting (mushroom)"
"产业(农业/工业/行业)";"industry (anything produce related)"
"阐述(说明/解释)";"to expound/elaborate/explain"
"颤抖(发抖/颤动)";"to tremble/shake/shiver"
