yisi,hanzi
to recite/learn by heart and repeat from memory,背诵(记诵)
backup,(数据/联机/脱机)备份(支援)
memo/memorandum/notes,备忘录
shell; conch,贝壳 (贝类)
be busy running about,奔波
run quickly (wildly fast),奔驰 (奔跑/奔走/跑步)
instinct,本能 (直觉)
capital asset/funds,本钱 (资金/资本)
oneself,本人(自己/本人/自身)
itself,本身(自身)
ability/skill,本事(本领/能事)
clumsy/awkward,笨拙(愚蠢)
collapse/crumble/fall apart,崩溃(解体)
not (don't mention),甭(甭提/甭管)
to hop/leap/jump,蹦(蹦跳/蹦高)(蹦极)
to burst forth,迸发
to force/compel,逼迫(强逼/强迫/迫使)
nasal mucus/snivel,(擤/流)鼻涕
example/analogy/for instance,比方(比方说/如果)
to compare/liken to/metaphor,比喻(比作/比较)
proportion,比重(比例)
despise/disdain/look down upon,鄙视(轻视)
upper arm (from neck to elbow),(左/右/双)臂(臂膀/臂力)
evil/drawback/ills/disadvantages,弊病(弊端/害处)(好处/益处)
malpractice/abuse/ills,弊端(弊病/害处)(好处/益处)
