"方针 (政策) (策略)";"policy/guideline (strategy)"
"防守 (防御/保卫)(进攻/攻击)";"defense/to defend"
"防御 (防守/防御/保卫)(进攻/攻击)";"defense/to defend"
"防止 (预防)";"to prevent/guard against/take precautions"
"防治 (防止/预防)";"to prevent and cure"
"访问 (拜访/做客)";"to visit"
"纺织(品)";"spinning and weaving (textile/fabrics)"
"放大(镜) (缩小)";"to enlarge/magnify (to reduce/shrink)"
"放射 (放射性 元素)(放射线)";"to radiate (radioactive) (radiation)"
"非法 (合法)";"illegal (legal)"
"飞禽走兽 (水禽)(海兽/兽性)";"birds and animals (flying birds and running beasts)"
"飞翔 (翱翔) (展翅)";"to soar/circle in the air (spread wings)"
"飞跃 (跳跃)";"to leap/jump"
"肥沃 (贫瘠/瘠薄)";"fertile (barren/infertile)"
"诽谤 (侮辱)";"to slander/defame (Nieli)"
"肺 (肺部)(肺病/肺癌/肺炎/肺结核)";"lung"
"废除 (除了) (消除/排除) (清除/删除) (开除)";"to abolish (eliminate/delete/fire sb)"
"废墟 (古墓)";"ruins (old tomb)"
"废寝忘食";"forget all about sleeping and eating"
"沸腾 (熬) (煎熬/熬煎)";"(of a liquid) to boil"
"分辨 (辨认/识别)";"to distinguish/differentiate"
"(有/没)分寸";"sense of proper speech or action"
"分红 (奖金)";"dividend/bonus (mainly after co-operation)"
"分解";"to decompose/break down"
"分裂";"to split up/divide or seperate"
