"(内)分泌";"to secrete/secretion"
"分明 (鲜明/清楚/清晰)";"clear/distinct/evident"
"分歧 (矛盾)";"differences (of opinion, position)"
"分散";"to scatter/disperse"
"吩咐 (命令/下令)";"to tell/instruct/command"
"坟墓 (墓葬) (埋葬)(陪葬)";"grave/tomb"
"粉末 (碎末)";"fine powder"
"粉色";"pink"
"粉碎";"to crush/smash/shatter"
"分量";"quantity or amount (eg cooking)"
"愤怒 (发怒/生气/发火/恼火)";"anger/angry"
"风暴 (风浪)";"storm (stormy sea)"
"风度";"grace/elegance (for men)"
"风光 (风景/景色) (情景/情况)";"scenery"
"风气 (气氛)";"atmosphere/general mood"
"风趣 (幽默) (饶有风趣)";"humorous/humor (witty and interesting)"
"风土人情";"local customs and practices"
"风味";"distinctive flavor/distinctive style"
"封闭 (封印/封锁)";"to seal off/close down (to seal)"
"封建 (领主)";"feudal/feudalism (lord)"
"封锁 (封印)(封闭)";"to seal off"
"丰满";"ample/well developed/fully rounded"
"丰盛";"rich/abundant/plentiful"
"丰收 (歉收)";"have good harvest"
"锋利 (钝)";"sharp"
